r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
24,17,8,3,10,10,1,20.06
24,26,8,9,10,10,1,17.64
24,21,8,4,10,10,1,20.79
24,9,8,24,10,10,1,23.39
24,30,8,3,10,10,1,25.73
24,31,8,5,10,10,1,29.47
24,25,8,20,10,10,1,17.14
24,27,8,31,10,10,1,24.33
24,30,8,11,10,10,1,18.12
24,15,8,5,10,10,1,20.48
24,20,8,30,10,10,1,17.44
24,16,8,31,10,10,1,23.01
24,7,8,4,7,9,0,3.29
24,14,8,20,10,10,1,23.04
24,18,8,14,10,11,0,17.52
24,30,8,4,10,10,1,22.58
24,22,8,22,10,10,1,17.74
24,23,8,3,10,10,1,18.45
24,15,8,28,10,10,1,28.74
24,30,8,8,10,10,1,20.02
24,28,8,13,10,10,1,24.12
24,31,8,26,10,10,1,22.49
24,29,8,14,10,10,1,17.52
24,13,8,6,10,10,1,20.83
16,19,24,24,12,12,1,67.24
16,2,24,16,12,12,1,70.8
16,22,24,13,12,12,1,66.33
16,23,24,21,12,12,1,69.13
16,12,24,13,12,12,1,54.86
16,17,24,28,12,12,1,66.23
16,6,24,18,12,12,1,66.27
24,24,8,2,7,9,0,4.1
24,22,8,10,10,10,1,20.74
24,9,8,8,10,10,1,26.0
24,13,8,24,10,10,1,19.15
24,18,8,1,10,10,1,24.82
24,31,8,7,10,10,1,20.19
24,17,8,15,10,11,0,17.5
24,19,8,1,10,10,1,17.79
24,1,8,21,10,10,1,17.98
24,22,8,15,10,10,1,26.99
24,26,8,28,10,11,0,20.35
24,6,8,18,10,10,1,18.02
24,12,8,16,10,10,1,17.26
24,14,8,28,10,10,1,20.87
24,4,8,25,10,10,1,22.2
24,7,8,19,7,9,0,3.92
24,29,8,13,10,10,1,21.7
24,20,8,8,10,10,1,22.49
24,27,8,9,10,10,1,29.37
24,7,8,6,7,9,0,8.12
24,10,8,5,10,10,1,28.53
24,18,8,7,10,10,1,24.54
24,9,8,10,10,10,1,19.69
24,19,8,25,10,10,1,24.43
24,9,8,27,10,10,1,28.49
24,7,8,10,7,9,0,3.31
24,26,8,4,10,10,1,20.63
24,29,8,26,10,10,1,19.89
24,1,8,4,10,10,1,24.62
24,19,8,24,10,10,1,18.68
24,1,8,18,10,10,1,30.55
24,10,8,31,10,10,1,17.43
24,22,8,25,10,10,1,23.75
24,24,8,21,7,9,0,4.33
24,5,8,3,10,10,1,15.86
24,17,8,12,10,10,1,21.88
24,19,8,26,10,10,1,16.69
24,10,8,14,10,10,1,23.96
24,17,8,22,10,10,1,26.86
24,12,8,25,10,10,1,20.38
24,17,8,11,10,10,1,22.76
24,13,16,13,12,12,1,68.15
24,7,16,18,10,11,0,20.5
24,1,16,9,12,12,1,64.37
24,21,16,20,12,12,1,54.48
24,24,16,29,10,11,0,30.59
24,24,16,27,10,11,0,32.44
24,24,16,17,10,11,0,23.73
24,7,16,30,10,11,0,16.7
24,15,8,23,10,10,1,28.31
24,15,8,12,10,10,1,22.84
24,10,8,18,10,10,1,21.38
24,13,16,11,12,12,1,69.75
24,26,16,24,12,12,1,61.42
24,22,16,19,12,12,1,61.5
24,16,16,4,10,11,0,34.79
24,21,16,30,12,12,1,60.87
24,16,16,24,10,11,0,15.95
24,8,16,21,7,9,0,2.7
24,31,16,21,12,12,1,74.11
24,10,16,21,12,12,1,69.31
24,1,16,14,12,12,1,62.81
24,24,16,21,10,11,0,22.73
24,5,16,21,12,12,1,72.67
24,25,16,30,12,12,1,64.65
24,12,16,17,12,12,1,57.47
24,1,16,22,12,12,1,58.14
24,13,16,19,10,11,0,16.97
24,14,16,13,12,12,1,59.54
24,11,16,28,12,12,1,71.86
24,20,16,19,12,12,1,69.88
24,29,16,31,12,12,1,71.16
24,24,16,3,10,11,0,19.34
24,15,16,20,12,12,1,51.01
24,27,16,17,12,12,1,55.17
24,14,16,30,12,12,1,62.42
24,24,16,23,10,11,0,33.45
24,10,16,23,12,12,1,59.92
24,6,16,15,12,12,1,74.84
24,20,16,22,12,12,1,63.06
24,17,16,7,12,12,1,59.58
