# 1.5-round weight-12 class from screen_r1c_cands.csv
16,25,21,8
10,1,3,5
16,27,29,4
27,12,9,28
27,10,26,18
29,10,5,4
2,15,16,24
19,30,11,18
12,5,23,1
20,26,3,26
15,10,1,21
23,1,19,13
4,4,22,11
20,20,21,23
23,19,30,29
15,3,20,16
17,11,19,28
22,2,7,6
2,20,4,26
2,4,18,17
6,18,5,8
30,21,27,25
14,31,28,14
30,5,6,26
8,8,26,31
2,12,3,28
28,7,3,17
19,14,9,20
5,10,19,26
8,3,28,20
14,20,31,10
27,16,14,14
15,11,27,7
29,23,17,13
4,16,22,24
29,30,26,20
1,16,10,9
25,26,23,10
29,7,26,5
23,21,13,22
2,26,25,13
15,18,28,1
5,8,28,16
21,4,29,10
23,20,14,7
8,16,19,4
6,16,12,23
21,31,20,21
29,20,14,13
1,21,13,31
28,5,14,5
2,10,13,20
14,21,4,7
20,9,16,20
14,9,17,27
25,4,11,26
31,5,18,23
18,26,9,31
4,25,12,15
12,29,17,8
18,11,23,10
19,1,22,16
9,28,22,26
9,25,4,10
23,13,1,16
19,24,5,25
25,18,13,16
26,27,25,8
17,1,13,26
2,14,20,3
15,3,10,20
2,12,25,2
3,3,27,2
19,10,12,10
3,18,16,20
12,28,11,28
6,3,9,13
18,31,30,26
28,27,20,3
11,13,30,23
7,6,2,15
7,13,26,4
23,29,10,25
11,3,3,3
27,8,4,17
15,23,27,18
6,15,14,18
4,7,1,8
10,7,17,20
30,12,9,10
2,1,28,1
21,25,28,15
2,7,3,11
8,22,28,4
29,5,20,20
15,24,1,18
8,27,16,6
27,18,31,30
1,8,5,3
1,28,5,11
30,19,3,17
23,19,14,16
7,19,15,26
22,30,4,28
22,13,28,8
3,5,11,17
18,9,7,13
1,18,9,12
9,18,13,28
13,17,17,18
15,9,3,6
25,16,19,13
5,29,20,7
28,11,5,8
11,13,2,29
14,24,27,19
16,27,17,29
2,5,18,14
19,2,7,7
10,23,13,31
10,30,17,1
30,19,9,7
18,17,24,18
29,6,8,3
7,16,6,2
22,27,13,29
10,1,5,26
12,14,27,28
19,8,28,31
15,9,31,13
8,13,29,20
28,20,21,26
12,3,1,14
25,15,29,4
21,21,25,31
31,8,15,12
22,2,9,27
19,17,25,20
28,11,5,19
12,13,21,27
25,31,15,28
1,9,2,9
10,6,18,16
6,14,22,10
23,15,24,8
16,24,13,1
31,17,9,4
10,9,1,19
22,6,8,10
24,3,6,15
20,23,22,11
1,15,28,11
8,28,31,8
23,2,1,15
17,7,13,5
6,8,3,13
2,6,11,1
27,24,24,14
6,29,14,6
27,18,17,25
6,9,14,24
16,10,31,12
30,23,15,28
15,18,27,20
17,6,2,27
14,8,27,30
15,7,27,2
20,27,23,13
14,13,17,14
9,15,11,19
8,12,18,18
26,29,23,23
17,8,9,1
28,22,3,9
23,29,13,6
9,25,26,19
9,16,1,6
29,11,28,13
14,23,29,24
24,14,19,9
6,5,28,2
11,31,12,31
27,16,4,8
5,4,13,2
6,3,4,15
18,24,21,15
26,1,2,9
2,17,16,29
24,21,7,12
20,15,4,11
13,3,21,19
26,11,19,29
6,5,25,24
30,27,21,4
18,7,16,31
17,30,21,23
11,3,19,20
28,18,24,16
31,6,3,1
3,1,6,9
23,18,17,9
23,28,30,22
25,18,11,30
29,24,26,13
23,31,25,24
2,19,27,22
15,28,22,23
21,4,14,13
6,28,24,5
21,13,14,16
12,23,25,2
18,3,1,12
8,5,7,30
9,14,20,28
11,30,16,29
4,23,13,15
11,5,22,20
1,21,23,13
21,2,10,12
25,22,28,30
29,1,23,20
15,11,19,1
24,2,26,21
24,10,6,27
21,30,9,13
30,26,27,4
15,31,5,15
30,25,18,20
14,25,12,6
13,24,2,5
30,31,26,10
17,23,20,14
27,21,6,26
19,16,24,10
19,26,20,9
24,22,2,25
29,13,18,31
19,14,30,5
19,30,30,18
29,31,22,5
20,19,31,20
8,3,4,27
30,4,24,2
19,22,4,2
9,14,5,27
12,4,2,27
26,30,13,26
20,20,27,8
6,18,19,16
29,28,31,6
27,17,26,26
19,22,6,11
17,28,3,30
21,26,25,2
10,4,15,3
1,28,22,2
24,9,18,10
19,30,20,31
25,26,9,15
13,4,26,31
21,8,10,21
22,25,5,17
27,16,12,21
5,14,22,11
14,29,20,15
4,9,2,17
10,23,17,11
7,7,8,27
9,28,1,16
17,29,24,31
1,12,28,23
15,4,14,26
22,5,9,4
12,9,25,27
7,11,30,20
5,18,8,31
20,1,8,23
22,26,14,11
19,26,23,9
31,13,25,20
9,25,12,20
11,12,24,9
19,25,5,1
8,9,30,16
29,25,20,18
31,27,26,6
30,8,3,14
25,17,5,14
25,16,3,17
26,27,9,4
8,4,14,13
5,4,22,15
27,17,22,31
9,12,27,23
3,30,26,30
28,14,8,20
16,29,12,25
10,23,1,4
20,17,31,2
6,20,25,8
25,29,18,15
28,10,14,13
20,1,3,13
5,24,19,7
27,30,16,22
30,13,16,4
14,30,26,21
30,6,29,23
22,16,7,21
10,31,18,25
4,31,20,21
23,11,5,30
12,17,14,31
15,1,6,29
26,29,24,9
2,28,10,10
21,17,10,16
5,14,11,17
11,7,9,2
10,17,30,28
19,10,16,10
9,6,10,9
26,29,11,5
9,13,29,22
15,31,22,27
29,16,24,6
29,29,13,2
3,19,7,30
11,2,17,24
10,2,14,26
26,22,20,27
7,28,26,14
2,16,13,28
31,18,22,30
22,4,13,10
11,14,19,19
16,20,7,19
17,22,3,11
26,21,13,28
21,6,25,31
8,17,31,27
31,16,28,3
26,21,14,22
1,10,2,9
25,3,6,20
9,25,15,23
14,10,4,10
26,2,16,6
27,9,18,7
5,2,22,13
18,1,19,17
10,1,24,13
11,4,9,6
20,23,7,3
30,13,22,1
22,1,17,14
13,8,22,10
17,21,8,25
28,7,18,22
1,4,7,9
25,20,26,31
25,27,6,2
24,30,25,13
21,14,7,6
8,3,20,15
18,18,11,28
22,22,9,7
17,20,9,27
6,21,21,2
20,8,13,9
9,7,21,9
13,2,25,2
28,5,24,16
31,14,10,31
28,12,13,25
20,16,26,14
27,28,30,14
14,25,12,30
20,24,16,25
13,10,29,4
3,31,24,6
10,30,9,26
28,9,16,20
5,13,2,3
9,3,25,16
7,15,28,10
2,9,11,27
