r0,r1,r2,r3,rounds,trials,mean_flip,max_dev,zero_pairs
24,21,16,23,1,4000,0.38141,0.50000,6317
24,9,16,20,1,4000,0.34168,0.50000,12509
24,10,16,7,1,4000,0.36040,0.50000,11201
24,11,16,9,1,4000,0.36516,0.50000,10100
24,3,16,3,1,4000,0.35489,0.50000,16362
27,10,15,18,1,4000,0.36558,0.50000,9089
19,4,30,7,1,4000,0.32289,0.50000,20082
3,2,1,26,1,4000,0.22291,0.50000,30090
1,28,16,11,1,4000,0.30496,0.50000,21905
10,30,7,13,1,4000,0.31021,0.50000,18960
18,21,17,2,1,4000,0.37403,0.50000,7022
29,12,18,14,1,4000,0.33578,0.50000,8471
18,7,23,29,1,4000,0.33452,0.50000,16238
20,24,25,3,1,4000,0.37057,0.50000,6107
25,4,14,3,1,4000,0.34565,0.50000,15497
7,1,16,21,1,4000,0.32590,0.50000,11011
5,24,9,22,1,4000,0.31717,0.50000,26073
27,28,7,22,1,4000,0.31741,0.50000,26173
15,13,11,21,1,4000,0.36165,0.50000,8610
9,9,21,21,1,4000,0.33185,0.50000,9911
8,8,2,19,1,4000,0.34710,0.50000,5540
6,29,27,25,1,4000,0.29272,0.50000,30206
21,5,26,30,1,4000,0.31010,0.50000,23818
1,1,13,5,1,4000,0.25820,0.50000,19087
29,22,18,2,1,4000,0.36571,0.50000,8144
3,15,21,27,1,4000,0.35171,0.50000,5190
10,29,1,2,1,4000,0.27728,0.50000,29144
18,2,17,27,1,4000,0.32304,0.50000,9968
9,6,4,5,1,4000,0.37077,0.50000,5801
14,28,2,2,1,4000,0.31589,0.50000,23612
21,3,30,27,1,4000,0.29283,0.50000,27546
4,11,2,5,1,4000,0.34927,0.50000,3004
18,2,15,22,1,4000,0.32170,0.50000,8994
5,29,13,25,1,4000,0.32398,0.50000,19463
27,10,24,6,1,4000,0.34638,0.50000,10911
11,4,14,12,1,4000,0.35683,0.50000,5964
5,19,3,2,1,4000,0.37026,0.50000,11508
10,27,26,21,1,4000,0.34448,0.50000,16420
24,24,17,17,1,4000,0.35000,0.50000,6904
14,27,8,17,1,4000,0.35473,0.50000,15052
18,7,11,30,1,4000,0.35811,0.50000,8210
11,17,26,13,1,4000,0.35975,0.50000,7554
31,29,19,16,1,4000,0.28436,0.50000,28572
28,27,19,23,1,4000,0.35874,0.50000,15004
17,18,1,29,1,4000,0.30920,0.50000,7852
